type,description,risk,recommendations
stress,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
stress,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fever,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fever,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
stress,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
stress,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
stress,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
